0.1713,0.1130,0.1064,0.2196
0.1015,0.0907,0.0766,0.0676
0.1397,0.0939,0.1869,0.0971
0.1135,0.2653,0.1435,0.0283
0.1019,0.0955,0.0752,0.1251
0.1318,0.2681,0.3608,0.0235
0.4330,0.4420,0.1088,0.1449
0.1382,0.1505,0.1899,0.1772
0.0579,0.1436,0.0743,0.1106
0.1620,0.2255,0.2115,0.1393
0.1108,0.0764,0.0522,0.0941
0.0632,0.1429,0.8460,1.0635
0.0842,0.0681,0.1242,0.2170
0.2021,0.0684,0.0690,0.0142
0.0656,0.0255,0.0655,0.0914
0.1340,0.1974,0.2862,0.0798
0.1780,0.1333,0.1193,0.1134
0.2518,0.2276,0.0577,0.1780
0.0390,0.3647,0.3973,0.0248
0.0479,0.0584,0.1624,0.2531
0.4259,0.1560,0.1336,0.3719
