0.0332,0.0321,0.0386,0.0258
0.0285,0.0080,0.0437,0.0413
0.0206,0.0389,0.0167,0.0134
0.0608,0.0399,0.0449,0.0502
0.0451,0.0333,0.0323,0.0086
0.0589,0.0146,0.0539,0.0622
0.0323,0.0287,0.0267,0.0290
1.0974,0.0153,0.0398,1.1052
0.0260,0.0366,0.0308,0.0072
0.0566,0.0549,0.0182,0.0526
0.0161,0.0312,0.0269,0.0269
0.3810,0.0350,0.4211,0.0316
0.0350,0.0288,0.0272,0.0309
0.0250,0.0079,0.0284,0.0256
0.0247,0.0360,0.0161,0.0353
0.0442,0.0391,0.0432,0.0129
0.0290,0.0031,0.0070,0.0430
0.0416,0.0205,0.0296,0.0152
0.0288,0.0388,0.0790,0.0199
0.0217,0.0268,0.0228,0.0151
0.0218,0.0273,0.0114,0.0306
0.0451,0.0802,0.0761,0.1036
0.0132,0.0180,0.0324,0.0062
0.0375,0.0620,0.0072,0.0794
0.0150,0.0284,0.0275,0.0173
0.0253,0.0281,0.0590,0.0422
1.5427,1.5516,0.0367,0.0248
