0.3055,0.2248,0.1648,0.3166
0.1820,0.0803,0.2769,0.2045
0.0567,0.1984,0.0824,0.5753
0.1017,0.3084,0.2409,0.6334
0.1578,0.2626,0.1084,0.5081
0.1363,0.4048,0.0364,0.2552
0.1169,0.6479,0.0581,0.1528
0.1140,0.5512,0.1145,0.3103
0.2706,0.1446,0.7390,0.8011
0.2422,0.3240,0.0803,0.4478
0.1532,0.3023,0.1966,0.6662
0.1797,0.0395,0.4048,0.2116
0.2810,0.3191,0.4964,0.5337
0.0929,0.2989,0.2102,0.0480
0.2534,0.3378,0.6349,0.3341
0.0923,0.1193,0.1445,0.3463
0.1179,0.0918,0.9514,0.7933
0.3008,0.6035,0.7644,0.0368
0.2647,0.2415,0.7473,0.3229
0.1675,0.1067,0.4486,0.1248
0.3969,0.3085,0.2690,0.4566
0.1090,0.0895,0.6455,0.3068
0.0145,0.3973,0.4279,0.4667
0.1608,0.5188,0.6481,0.4807
0.1529,0.5577,0.6070,0.6787
0.1869,0.2792,0.0267,0.8253
0.2832,0.4467,0.4386,0.3474
0.1253,0.1530,0.1832,0.5825
0.3035,0.3420,0.3766,0.4772
