0.1611,0.1755,1.3351,1.0781
0.4260,0.6751,1.2394,1.2710
0.2504,1.4906,0.3648,0.2363
0.5336,0.4234,0.4859,1.3950
0.3733,0.7466,0.9171,0.7720
0.3454,0.7384,0.9348,1.2143
0.0708,0.4066,1.2037,0.9354
0.2848,0.4618,0.5969,1.0097
0.2032,0.8373,0.2279,0.7662
0.4540,0.7391,0.9019,0.1452
0.2789,0.6579,1.3196,0.3537
0.4519,0.5984,0.4184,1.1564
0.3323,0.5510,0.9864,0.5419
0.9778,0.3696,0.8583,1.5223
0.5533,1.1575,0.5536,0.3780
0.3805,1.7583,2.0337,0.4109
0.8820,0.4563,1.0723,1.0942
0.5949,0.3904,0.5057,0.2165
0.1003,1.1909,0.3002,0.5697
0.3571,0.7587,0.7815,0.7971
0.0561,0.8687,0.3065,3.3116
0.2373,0.6045,0.7247,1.9512
0.8856,0.9593,0.8012,1.7562
0.7105,0.5981,1.3482,0.8396
0.6197,0.6909,0.4479,0.0940
