0.0901,0.0476,0.0724,0.0440
0.0454,0.1299,0.1609,0.0485
0.0530,0.0378,0.0962,0.1175
0.0688,0.0403,0.0691,0.0939
0.2025,0.0330,0.0868,0.0762
0.0499,0.0332,1.6102,1.6840
0.1037,0.0628,0.0457,0.0400
0.1427,0.0080,0.0692,0.0764
0.0306,0.0101,0.0656,0.1653
0.0445,0.0818,0.1286,0.0941
0.0681,0.0607,0.0688,0.0489
0.0494,0.0783,0.0525,0.0612
0.1310,1.0854,1.0968,0.0911
0.0156,0.0897,0.0649,0.0660
0.0537,0.0148,0.1058,0.0863
0.1077,0.0866,0.1329,0.1023
0.0757,0.1174,0.0636,0.0466
0.0614,0.0596,0.0879,0.0569
0.1399,0.0820,0.0411,0.1500
0.1382,0.2874,0.0577,0.0280
